"PAYS","variable","value"
"Thailande","CA95",0
"Ukraine","CA95",0
"Albanie","CA95",0
"Bangladesh","CA95",0
"Bolivie","CA95",0
"Bulgarie","CA95",0
"Croatie","CA95",0
"Cuba","CA95",0
"Géorgie","CA95",0
"Islande","CA95",0
"Kazakhstan","CA95",0
"Kenya","CA95",0
"Liban","CA95",0
"Lituanie","CA95",0
"Malaisie","CA95",0
"Maroc","CA95",0
"Perou","CA95",0
"République Tchèque","CA95",0
"Slovaquie","CA95",0
"Slovénie","CA95",0
"Sri Lanka","CA95",0
"Uruguay","CA95",0
"Venezuela","CA95",0
"France","CA96",5
"Etats-Unis","CA96",3
"Royaume-Uni","CA96",2
"Italie","CA96",2
"Japon","CA96",0
"Chine","CA96",0
"Russie","CA96",0
"Canada","CA96",1
"Corée du Sud","CA96",0
"Taiwan","CA96",1
"Danemark","CA96",1
"Mexique","CA96",0
"Belgique","CA96",0
"Espagne","CA96",1
"Australie","CA96",1
"Autriche","CA96",0
"Israel","CA96",0
"Allemagne","CA96",0
"Argentine","CA96",0
"Iran","CA96",0
"Portugal","CA96",1
"Turquie","CA96",0
"Brésil","CA96",0
"Hong-Kong","CA96",1
"Roumanie","CA96",1
"Finlande","CA96",1
"Grèce","CA96",0
"Hongrie","CA96",0
"Serbie","CA96",0
"Suède","CA96",0
"Nouvelle-Zélande","CA96",0
"Philippines","CA96",0
"Pologne","CA96",0
"Afrique du Sud","CA96",0
"Algérie","CA96",0
"Bosnie","CA96",0
"Burkina Faso","CA96",0
"Cambodge","CA96",0
"Chili","CA96",0
"Colombie","CA96",0
"Egypte","CA96",0
"Guinée","CA96",1
"Haiti","CA96",0
"Inde","CA96",0
"Irak","CA96",0
"Irlande","CA96",0
"Mali","CA96",0
"Mauritanie","CA96",0
"Norvège","CA96",0
"Palestine","CA96",0
"Pays-Bas","CA96",0
"Sénégal","CA96",0
"Singapour","CA96",0
"Suisse","CA96",0
"Tchad","CA96",0
"Thailande","CA96",0
"Ukraine","CA96",0
"Albanie","CA96",0
"Bangladesh","CA96",0
"Bolivie","CA96",0
"Bulgarie","CA96",0
"Croatie","CA96",0
"Cuba","CA96",0
"Géorgie","CA96",0
"Islande","CA96",0
"Kazakhstan","CA96",0
"Kenya","CA96",0
"Liban","CA96",0
"Lituanie","CA96",0
"Malaisie","CA96",0
"Maroc","CA96",0
"Perou","CA96",0
"République Tchèque","CA96",0
"Slovaquie","CA96",0
"Slovénie","CA96",0
"Sri Lanka","CA96",0
"Uruguay","CA96",0
"Venezuela","CA96",0
"France","CA97",3
"Etats-Unis","CA97",5
"Royaume-Uni","CA97",3
